Package: libgnutls30                    Version: 3.6.13
Package: init-system-helpers            Version: 1.57
Package: libmount1                      Version: 2.34
Package: libhogweed5                    Version: 3.5.1
Package: libattr1                       Version: 2.4.48
Package: libgpg-error0                  Version: 1.37
Package: libgcc-s1                      Version: 10.3.0
Package: libudev1                       Version: 245.4
Package: libc6                          Version: 2.31
Package: libext2fs2                     Version: 1.45.5
Package: mecab-ipadic-utf8              Version: 2.7.0
Package: perl-base                      Version: 5.30.0
Package: libencode-locale-perl          Version: 1.05
Package: coreutils                      Version: 8.30
Package: ubuntu-keyring                 Version: 2020.02.11.4
Package: libmecab2                      Version: 0.996
Package: mysql-server-core-8.0          Version: 8.0.27
Package: libpam0g                       Version: 1.3.1
Package: libhttp-date-perl              Version: 6.05
Package: libhtml-parser-perl            Version: 3.72
Package: libtinfo6                      Version: 6.2
Package: libacl1                        Version: 2.2.53
Package: libbz2-1.0                     Version: 1.0.8
Package: libfcgi-perl                   Version: 0.79
Package: libunistring2                  Version: 0.9.10
Package: login                          Version: 4.8.1
Package: bash                           Version: 5.0
Package: gcc-10-base                    Version: 10.3.0
Package: libstdc++6                     Version: 10.3.0
Package: libzstd1                       Version: 1.4.4
Package: mecab-ipadic                   Version: 2.7.0
Package: e2fsprogs                      Version: 1.45.5
Package: libsmartcols1                  Version: 2.34
Package: gzip                           Version: 1.10
Package: util-linux                     Version: 2.34
Package: apt                            Version: 2.0.6
Package: libffi7                        Version: 3.3
Package: mount                          Version: 2.34
Package: libapt-pkg6.0                  Version: 2.0.6
Debconf is a configuration management system for debian packages. PackagesVersion: 2.0.6
Package: ncurses-bin                    Version: 6.2
Package: libpam-modules-bin             Version: 1.3.1
Package: libhtml-template-perl          Version: 2.97
Package: mysql-server                   Version: 8.0.27
Package: liblzma5                       Version: 5.2.4
Package: debconf                        Version: 1.5.73
Package: libssl1.1                      Version: 1.1.1f
Package: libp11-kit0                    Version: 0.23.20
Package: psmisc                         Version: 23.3
Package: procps                         Version: 3.3.16
Package: lsb-base                       Version: 11.1.0
Package: libio-html-perl                Version: 1.001
Package: libncurses6                    Version: 6.2
Package: libcgi-pm-perl                 Version: 4.46
Package: sed                            Version: 4.7
Package: libhtml-tagset-perl            Version: 3.20
Package: tar                            Version: 1.30
Package: libpcre3                       Version: 8.39
Package: libperl5.30                    Version: 5.30.0
Package: libncursesw6                   Version: 6.2
Package: base-files                     Version: 11
Package: mysql-common                   Version: 5.8
Package: libpam-runtime                 Version: 1.3.1
Package: libcrypt1                      Version: 4.4.10
Package: liblz4-1                       Version: 1.9.2
Package: libc-bin                       Version: 2.31
Package: grep                           Version: 3.4
Package: libedit2                       Version: 3.1
Package: libgcrypt20                    Version: 1.8.5
Package: libcgi-fast-perl               Version: 2.15
Package: libhttp-message-perl           Version: 6.22
Package: fdisk                          Version: 2.34
Package: bzip2                          Version: 1.0.8
Package: libseccomp2                    Version: 2.5.1
Package: libpam-modules                 Version: 1.3.1
Package: libdebconfclient0              Version: 0.251
Package: logsave                        Version: 1.45.5
Package: libgdbm6                       Version: 1.18.1
Package: libbsd0                        Version: 0.10.0
Package: netbase                        Version: 6.1
Package: libselinux1                    Version: 3.0
Package: mawk                           Version: 1.3.4.20200120
Package: diffutils                      Version: 3.7
Package: libsemanage1                   Version: 3.0
Package: liburi-perl                    Version: 1.76
Package: libtasn1-6                     Version: 4.16.0
Package: libuuid1                       Version: 2.34
Package: liblwp-mediatypes-perl         Version: 6.04
Package: libsemanage-common             Version: 3.0
Package: adduser                        Version: 3.118
Package: libevent-pthreads-2.1-7        Version: 2.1.11
Package: perl                           Version: 5.30.0
Package: mysql-server-8.0               Version: 8.0.27
Package: mecab-utils                    Version: 0.996
Package: libss2                         Version: 1.45.5
Package: libtimedate-perl               Version: 2.3200
Package: sensible-utils                 Version: 0.0.12
Package: libpcre2-8-0                   Version: 10.34
Package: base-passwd                    Version: 3.5.47
Package: sysvinit-utils                 Version: 2.96
Package: mysql-client-core-8.0          Version: 8.0.27
Package: libsystemd0                    Version: 245.4
Package: libnuma1                       Version: 2.0.12
Package: dpkg                           Version: 1.19.7
Package: bsdutils                       Version: 2.34
Package: libfdisk1                      Version: 2.34
Package: libcom-err2                    Version: 1.45.5
Package: zlib1g                         Version: 1.2.11.dfsg
Package: libaudit1                      Version: 2.8.5
Package: libblkid1                      Version: 2.34
Package: mysql-client-8.0               Version: 8.0.27
Package: findutils                      Version: 4.7.0
Package: libevent-core-2.1-7            Version: 2.1.11
Package: libprocps8                     Version: 3.3.16
Package: libdb5.3                       Version: 5.3.28
Package: hostname                       Version: 3.23
Package: libsepol1                      Version: 3.0
Package: libcap-ng0                     Version: 0.7.9
Package: ncurses-base                   Version: 6.2
Package: passwd                         Version: 4.8.1
Package: perl-modules-5.30              Version: 5.30.0
Package: libaio1                        Version: 0.3.112
Package: dash                           Version: 0.5.10.2
Package: libgdbm-compat4                Version: 1.18.1
Package: libaudit-common                Version: 2.8.5
Package: libgmp10                       Version: 6.2.0
Package: libnettle7                     Version: 3.5.1
Package: gpgv                           Version: 2.2.19
Package: libidn2-0                      Version: 2.2.0
